,date,region_code,region,recovered,active_cases,deceased,cases
49,2020-11-25,4,Menorca,580.0,125.0,14.0,718.0
50,2020-11-26,4,Menorca,580.0,125.0,14.0,718.0
50,2020-11-26,2,Formentera,141.0,18.0,1.0,160.0
50,2020-11-26,1,Eivissa,2880.0,439.0,26.0,3322.0
50,2020-11-26,0,total-balears,18983.0,3791.0,401.0,23112.0
50,2020-11-26,3,Mallorca,15382.0,3209.0,360.0,18912.0
51,2020-11-27,3,Mallorca,15382.0,3209.0,360.0,18912.0
51,2020-11-27,2,Formentera,141.0,18.0,1.0,160.0
51,2020-11-27,1,Eivissa,2880.0,439.0,26.0,3322.0
51,2020-11-27,4,Menorca,580.0,125.0,14.0,718.0
51,2020-11-27,0,total-balears,18983.0,3791.0,401.0,23112.0
52,2020-11-28,4,Menorca,580.0,125.0,14.0,718.0
52,2020-11-28,2,Formentera,141.0,18.0,1.0,160.0
52,2020-11-28,0,total-balears,18983.0,3791.0,401.0,23112.0
52,2020-11-28,3,Mallorca,15382.0,3209.0,360.0,18912.0
52,2020-11-28,1,Eivissa,2880.0,439.0,26.0,3322.0
53,2020-11-29,3,Mallorca,16372.0,3309.0,369.0,20014.0
53,2020-11-29,2,Formentera,147.0,15.0,1.0,163.0
53,2020-11-29,4,Menorca,626.0,124.0,14.0,763.0
53,2020-11-29,0,total-balears,20183.0,3831.0,410.0,24364.0
53,2020-11-29,1,Eivissa,3038.0,383.0,26.0,3424.0
54,2020-11-30,4,Menorca,630.0,134.0,14.0,777.0
54,2020-11-30,3,Mallorca,16420.0,3407.0,371.0,20163.0
54,2020-11-30,0,total-balears,20247.0,3941.0,412.0,24541.0
54,2020-11-30,1,Eivissa,3050.0,385.0,26.0,3438.0
54,2020-11-30,2,Formentera,147.0,15.0,1.0,163.0
55,2020-12-01,2,Formentera,147.0,15.0,1.0,163.0
55,2020-12-01,0,total-balears,20382.0,3996.0,414.0,24734.0
55,2020-12-01,3,Mallorca,16546.0,3451.0,373.0,20336.0
55,2020-12-01,1,Eivissa,3058.0,390.0,26.0,3451.0
55,2020-12-01,4,Menorca,631.0,140.0,14.0,784.0
56,2020-12-02,3,Mallorca,16682.0,3487.0,383.0,20520.0
56,2020-12-02,0,total-balears,20543.0,4039.0,424.0,24950.0
56,2020-12-02,2,Formentera,148.0,14.0,1.0,163.0
56,2020-12-02,1,Eivissa,3077.0,388.0,26.0,3468.0
56,2020-12-02,4,Menorca,636.0,150.0,14.0,799.0
57,2020-12-03,2,Formentera,152.0,10.0,1.0,163.0
57,2020-12-03,3,Mallorca,16863.0,3530.0,385.0,20746.0
57,2020-12-03,1,Eivissa,3089.0,408.0,26.0,3500.0
57,2020-12-03,4,Menorca,645.0,146.0,14.0,804.0
57,2020-12-03,0,total-balears,20749.0,4094.0,426.0,25213.0
58,2020-12-04,2,Formentera,152.0,10.0,1.0,163.0
58,2020-12-04,1,Eivissa,3089.0,408.0,26.0,3500.0
58,2020-12-04,4,Menorca,645.0,146.0,14.0,804.0
58,2020-12-04,0,total-balears,20749.0,4094.0,426.0,25213.0
58,2020-12-04,3,Mallorca,16863.0,3530.0,385.0,20746.0
