,date,region_code,region,cases,recovered,active_cases,deceased
33,2020-11-09,07026,Eivissa,1560.0,1252.0,313.0,3.0
33,2020-11-09,07046,Sant Antoni de Portmany,507.0,419.0,88.0,3.0
33,2020-11-09,07054,Santa Eulària des Riu,469.0,363.0,105.0,10.0
33,2020-11-09,07050,Sant Joan de Labritja,49.0,45.0,5.0,0.0
33,2020-11-09,07048,Sant Josep de sa Talaia,445.0,387.0,58.0,1.0
34,2020-11-10,07048,Sant Josep de sa Talaia,451.0,389.0,62.0,1.0
34,2020-11-10,07026,Eivissa,1580.0,1270.0,315.0,3.0
34,2020-11-10,07046,Sant Antoni de Portmany,516.0,424.0,92.0,3.0
34,2020-11-10,07054,Santa Eulària des Riu,480.0,369.0,110.0,10.0
34,2020-11-10,07050,Sant Joan de Labritja,49.0,45.0,5.0,0.0
34,2020-11-10,0,total-eivissa,3076.0,2497.0,584.0,17.0
35,2020-11-11,07046,Sant Antoni de Portmany,527.0,425.0,101.0,4.0
35,2020-11-11,07050,Sant Joan de Labritja,49.0,45.0,5.0,0.0
35,2020-11-11,07026,Eivissa,1592.0,1280.0,316.0,4.0
35,2020-11-11,07048,Sant Josep de sa Talaia,455.0,393.0,62.0,1.0
35,2020-11-11,0,total-eivissa,3110.0,2515.0,598.0,19.0
35,2020-11-11,07054,Santa Eulària des Riu,487.0,372.0,114.0,10.0
36,2020-11-12,07054,Santa Eulària des Riu,492.0,383.0,107.0,11.0
36,2020-11-12,07048,Sant Josep de sa Talaia,463.0,395.0,68.0,1.0
36,2020-11-12,0,total-eivissa,3135.0,2571.0,562.0,24.0
36,2020-11-12,07026,Eivissa,1601.0,1313.0,288.0,8.0
36,2020-11-12,07050,Sant Joan de Labritja,49.0,45.0,5.0,0.0
36,2020-11-12,07046,Sant Antoni de Portmany,530.0,435.0,94.0,4.0
37,2020-11-13,0,total-eivissa,3135.0,2571.0,562.0,24.0
37,2020-11-13,07048,Sant Josep de sa Talaia,463.0,395.0,68.0,1.0
37,2020-11-13,07054,Santa Eulària des Riu,492.0,383.0,107.0,11.0
37,2020-11-13,07026,Eivissa,1601.0,1313.0,288.0,8.0
37,2020-11-13,07046,Sant Antoni de Portmany,530.0,435.0,94.0,4.0
37,2020-11-13,07050,Sant Joan de Labritja,49.0,45.0,5.0,0.0
38,2020-11-14,07048,Sant Josep de sa Talaia,463.0,395.0,68.0,1.0
38,2020-11-14,0,total-eivissa,3135.0,2571.0,562.0,24.0
38,2020-11-14,07054,Santa Eulària des Riu,492.0,383.0,107.0,11.0
38,2020-11-14,07046,Sant Antoni de Portmany,530.0,435.0,94.0,4.0
38,2020-11-14,07050,Sant Joan de Labritja,49.0,45.0,5.0,0.0
38,2020-11-14,07026,Eivissa,1601.0,1313.0,288.0,8.0
39,2020-11-15,07050,Sant Joan de Labritja,53.0,45.0,9.0,0.0
39,2020-11-15,07054,Santa Eulària des Riu,502.0,399.0,101.0,11.0
39,2020-11-15,0,total-eivissa,3196.0,2665.0,528.0,25.0
39,2020-11-15,07026,Eivissa,1627.0,1372.0,255.0,8.0
39,2020-11-15,07048,Sant Josep de sa Talaia,471.0,402.0,69.0,1.0
39,2020-11-15,07046,Sant Antoni de Portmany,543.0,447.0,94.0,5.0
40,2020-11-16,07026,Eivissa,1633.0,1406.0,226.0,9.0
40,2020-11-16,07050,Sant Joan de Labritja,53.0,45.0,9.0,0.0
40,2020-11-16,0,total-eivissa,3216.0,2722.0,490.0,26.0
40,2020-11-16,07046,Sant Antoni de Portmany,547.0,454.0,91.0,5.0
40,2020-11-16,07054,Santa Eulària des Riu,508.0,408.0,98.0,11.0
