,date,region_code,region,cases,recovered,active_cases,deceased
29,2020-11-05,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
29,2020-11-05,07002,Alaior,39.0,27.0,12.0,0.0
29,2020-11-05,07032,Maó,183.0,146.0,32.0,6.0
29,2020-11-05,07037,Es Mercadal,28.0,24.0,0.0,4.0
29,2020-11-05,07064,Es Castell,28.0,19.0,9.0,0.0
30,2020-11-06,07002,Alaior,39.0,27.0,12.0,0.0
30,2020-11-06,07064,Es Castell,28.0,19.0,9.0,0.0
30,2020-11-06,0,total-menorca,604.0,484.0,107.0,14.0
30,2020-11-06,07052,Sant Lluís,35.0,29.0,5.0,1.0
30,2020-11-06,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
30,2020-11-06,07023,Ferreries,4.0,3.0,1.0,0.0
30,2020-11-06,07032,Maó,183.0,146.0,32.0,6.0
30,2020-11-06,07037,Es Mercadal,28.0,24.0,0.0,4.0
30,2020-11-06,07015,Ciutadella de Menorca,285.0,234.0,48.0,3.0
31,2020-11-07,07064,Es Castell,28.0,19.0,9.0,0.0
31,2020-11-07,07023,Ferreries,4.0,3.0,1.0,0.0
31,2020-11-07,07037,Es Mercadal,28.0,24.0,0.0,4.0
31,2020-11-07,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
31,2020-11-07,07015,Ciutadella de Menorca,285.0,234.0,48.0,3.0
31,2020-11-07,07052,Sant Lluís,35.0,29.0,5.0,1.0
31,2020-11-07,0,total-menorca,604.0,484.0,107.0,14.0
31,2020-11-07,07002,Alaior,39.0,27.0,12.0,0.0
31,2020-11-07,07032,Maó,183.0,146.0,32.0,6.0
32,2020-11-08,07032,Maó,187.0,150.0,32.0,6.0
32,2020-11-08,07015,Ciutadella de Menorca,290.0,241.0,46.0,3.0
32,2020-11-08,07052,Sant Lluís,35.0,29.0,5.0,1.0
32,2020-11-08,07064,Es Castell,30.0,22.0,8.0,0.0
32,2020-11-08,07002,Alaior,41.0,29.0,12.0,0.0
32,2020-11-08,07023,Ferreries,4.0,3.0,1.0,0.0
32,2020-11-08,07037,Es Mercadal,28.0,24.0,0.0,4.0
32,2020-11-08,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
32,2020-11-08,0,total-menorca,617.0,500.0,104.0,14.0
33,2020-11-09,07052,Sant Lluís,35.0,29.0,5.0,1.0
33,2020-11-09,07023,Ferreries,4.0,3.0,1.0,0.0
33,2020-11-09,07032,Maó,194.0,153.0,36.0,6.0
33,2020-11-09,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
33,2020-11-09,07002,Alaior,42.0,29.0,13.0,0.0
33,2020-11-09,07064,Es Castell,32.0,22.0,10.0,0.0
33,2020-11-09,07015,Ciutadella de Menorca,291.0,243.0,45.0,3.0
33,2020-11-09,0,total-menorca,628.0,505.0,110.0,14.0
33,2020-11-09,07037,Es Mercadal,28.0,24.0,0.0,4.0
34,2020-11-10,0,total-menorca,632.0,508.0,111.0,14.0
34,2020-11-10,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
34,2020-11-10,07002,Alaior,42.0,30.0,12.0,0.0
34,2020-11-10,07023,Ferreries,5.0,3.0,2.0,0.0
34,2020-11-10,07052,Sant Lluís,35.0,30.0,4.0,1.0
34,2020-11-10,07064,Es Castell,34.0,22.0,12.0,0.0
34,2020-11-10,07032,Maó,195.0,155.0,35.0,6.0
34,2020-11-10,07015,Ciutadella de Menorca,291.0,242.0,46.0,3.0
34,2020-11-10,07037,Es Mercadal,28.0,24.0,0.0,4.0
35,2020-11-11,07037,Es Mercadal,28.0,24.0,0.0,4.0
35,2020-11-11,07064,Es Castell,38.0,22.0,16.0,0.0
35,2020-11-11,07032,Maó,200.0,154.0,41.0,6.0
35,2020-11-11,0,total-menorca,646.0,509.0,124.0,14.0
35,2020-11-11,07023,Ferreries,5.0,3.0,2.0,0.0
35,2020-11-11,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
35,2020-11-11,07052,Sant Lluís,35.0,30.0,4.0,1.0
35,2020-11-11,07002,Alaior,46.0,30.0,16.0,0.0
35,2020-11-11,07015,Ciutadella de Menorca,292.0,244.0,45.0,3.0
36,2020-11-12,07002,Alaior,50.0,30.0,20.0,0.0
36,2020-11-12,0,total-menorca,655.0,517.0,125.0,14.0
36,2020-11-12,07032,Maó,203.0,161.0,37.0,6.0
36,2020-11-12,07015,Ciutadella de Menorca,294.0,245.0,46.0,3.0
36,2020-11-12,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
36,2020-11-12,07023,Ferreries,5.0,3.0,2.0,0.0
36,2020-11-12,07064,Es Castell,38.0,22.0,16.0,0.0
36,2020-11-12,07037,Es Mercadal,28.0,24.0,0.0,4.0
36,2020-11-12,07052,Sant Lluís,35.0,30.0,4.0,1.0
37,2020-11-13,07037,Es Mercadal,28.0,24.0,0.0,4.0
37,2020-11-13,07064,Es Castell,38.0,22.0,16.0,0.0
37,2020-11-13,07015,Ciutadella de Menorca,294.0,245.0,46.0,3.0
37,2020-11-13,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
37,2020-11-13,07052,Sant Lluís,35.0,30.0,4.0,1.0
