date,region_code,region,cases,recovered,active_cases,deceased,tp7d,hospitalized,intensivecare
2020-03-27,1,Mallorca,794,0,0,0,0.21352985638699926,nan,nan
2020-03-27,2,Menorca,54,0,0,0,0.1182108626198083,nan,nan
2020-03-27,3,Eivissa,73,0,0,0,0.2,nan,nan
2020-03-27,4,Formentera,0,0,0,0,0,nan,nan
2020-03-27,0,total-balears,963,0,0,0,0.20029806259314456,nan,nan
2020-03-28,1,Mallorca,843,0,0,0,0.20036429872495445,nan,nan
2020-03-28,2,Menorca,59,0,0,0,0.1291390728476821,nan,nan
2020-03-28,3,Eivissa,85,0,0,0,0.2,nan,nan
2020-03-28,4,Formentera,2,0,0,0,0.2857142857142857,nan,nan
2020-03-28,0,total-balears,1034,0,0,0,0.19367015098722415,nan,nan
2020-03-29,1,Mallorca,900,0,0,0,0.1908450704225352,nan,nan
2020-03-29,2,Menorca,59,0,0,0,0.11875,nan,nan
2020-03-29,3,Eivissa,88,0,0,0,0.19622641509433963,nan,nan
2020-03-29,4,Formentera,2,0,0,0,0.2857142857142857,nan,nan
2020-03-29,0,total-balears,1097,0,0,0,0.18458075407990995,nan,nan
2020-03-30,1,Mallorca,951,0,0,0,0.18020216103171838,nan,nan
2020-03-30,2,Menorca,65,0,0,0,0.11878453038674033,nan,nan
2020-03-30,3,Eivissa,89,0,0,0,0.17712177121771217,nan,nan
2020-03-30,4,Formentera,2,0,0,0,0.4,nan,nan
2020-03-30,0,total-balears,1158,0,0,0,0.17334064728469556,nan,nan
2020-03-31,1,Mallorca,989,0,0,0,0.1642512077294686,nan,nan
2020-03-31,2,Menorca,67,0,0,0,0.11049723756906077,nan,nan
2020-03-31,3,Eivissa,95,0,0,0,0.16279069767441862,nan,nan
2020-03-31,4,Formentera,2,0,0,0,0.3333333333333333,nan,nan
2020-03-31,0,total-balears,1207,0,0,0,0.1579520697167756,nan,nan
2020-04-01,1,Mallorca,1051,0,0,0,0.15061058344640435,nan,nan
2020-04-01,2,Menorca,72,0,0,0,0.096,nan,nan
2020-04-01,3,Eivissa,99,0,0,0,0.10951008645533142,nan,nan
2020-04-01,4,Formentera,2,0,0,0,0.3333333333333333,nan,nan
2020-04-01,0,total-balears,1279,0,0,0,0.14018691588785046,nan,nan
2020-04-02,1,Mallorca,1152,0,0,0,0.13000840571588682,nan,nan
2020-04-02,2,Menorca,73,0,0,0,0.07692307692307693,nan,nan
2020-04-02,3,Eivissa,101,0,0,0,0.09819121447028424,nan,nan
2020-04-02,4,Formentera,2,0,0,0,0.5,nan,nan
2020-04-02,0,total-balears,1383,0,0,0,0.1209517514871117,nan,nan
2020-04-03,1,Mallorca,1203,0,0,0,0.10166542381307482,nan,nan
2020-04-03,2,Menorca,78,0,0,0,0.0676056338028169,nan,nan
2020-04-03,3,Eivissa,104,0,0,0,0.08157894736842106,nan,nan
2020-04-03,4,Formentera,2,0,0,0,0.6666666666666666,nan,nan
2020-04-03,0,total-balears,1444,0,0,0,0.09645077200721877,nan,nan
2020-04-04,1,Mallorca,1256,0,0,0,0.10053554040895812,nan,nan
2020-04-04,2,Menorca,79,0,0,0,0.056179775280898875,nan,nan
2020-04-04,3,Eivissa,107,0,0,0,0.05057471264367816,nan,nan
2020-04-04,4,Formentera,2,0,0,0,0,nan,nan
2020-04-04,0,total-balears,1504,0,0,0,0.0914219023536277,nan,nan
2020-04-05,1,Mallorca,1273,0,0,0,0.08957732949087416,nan,nan
2020-04-05,2,Menorca,80,0,0,0,0.0603448275862069,nan,nan
2020-04-05,3,Eivissa,111,0,0,0,0.05,nan,nan
2020-04-05,4,Formentera,3,0,0,0,0.14285714285714285,nan,nan
2020-04-05,0,total-balears,1527,0,0,0,0.08232816389048439,nan,nan
2020-04-06,1,Mallorca,1297,0,0,0,0.08199052132701422,nan,nan
2020-04-06,2,Menorca,81,0,0,0,0.04923076923076923,nan,nan
2020-04-06,3,Eivissa,112,0,0,0,0.05227272727272727,nan,nan
2020-04-06,4,Formentera,3,0,0,0,0.125,nan,nan
2020-04-06,0,total-balears,1553,0,0,0,0.07568499712588618,nan,nan
2020-04-07,1,Mallorca,1340,0,0,0,0.07775808595480727,nan,nan
2020-04-07,2,Menorca,83,0,0,0,0.047058823529411764,nan,nan
2020-04-07,3,Eivissa,114,0,0,0,0.039014373716632446,nan,nan
2020-04-07,4,Formentera,3,0,0,0,0.125,nan,nan
2020-04-07,0,total-balears,1600,0,0,0,0.07043010752688172,nan,nan
2020-04-08,1,Mallorca,1407,0,0,0,0.07783121993878443,nan,nan
2020-04-08,2,Menorca,86,0,0,0,0.04105571847507331,nan,nan
2020-04-08,3,Eivissa,117,0,0,0,0.0392156862745098,nan,nan
2020-04-08,4,Formentera,3,0,0,0,0.125,nan,nan
2020-04-08,0,total-balears,1674,0,0,0,0.0706618962432916,nan,nan
2020-04-09,1,Mallorca,1429,0,0,0,0.06708646161298135,nan,nan
2020-04-09,2,Menorca,87,0,0,0,0.039660056657223795,nan,nan
2020-04-09,3,Eivissa,119,0,0,0,0.0313588850174216,nan,nan
2020-04-09,4,Formentera,3,0,0,0,0.125,nan,nan
2020-04-09,0,total-balears,1700,0,0,0,0.06032350142721218,nan,nan
2020-04-10,1,Mallorca,1456,0,0,0,0.07059151785714286,nan,nan
2020-04-10,2,Menorca,88,0,0,0,0.031746031746031744,nan,nan
2020-04-10,3,Eivissa,132,0,0,0,0.044585987261146494,nan,nan
2020-04-10,4,Formentera,3,0,0,0,0.1111111111111111,nan,nan
2020-04-10,0,total-balears,1741,0,0,0,0.06303056027164686,nan,nan
2020-04-11,1,Mallorca,1477,0,0,0,0.06260623229461756,nan,nan
2020-04-11,2,Menorca,89,0,0,0,0.03205128205128205,nan,nan
2020-04-11,3,Eivissa,132,0,0,0,0.03840245775729647,nan,nan
2020-04-11,4,Formentera,4,0,0,0,0.2,nan,nan
2020-04-11,0,total-balears,1764,0,0,0,0.05555555555555555,nan,nan
2020-04-12,1,Mallorca,1483,0,0,0,0.062462819750148724,nan,nan
2020-04-12,2,Menorca,89,0,0,0,0.03214285714285714,nan,nan
2020-04-12,3,Eivissa,133,0,0,0,0.03826086956521739,nan,nan
2020-04-12,4,Formentera,4,0,0,0,0.14285714285714285,nan,nan
2020-04-12,0,total-balears,1772,0,0,0,0.05580865603644647,nan,nan
2020-04-13,1,Mallorca,1491,0,0,0,0.055082339579784215,nan,nan
2020-04-13,2,Menorca,89,0,0,0,0.0299625468164794,nan,nan
